500,374750,374750,374750,374750,374750,374750,374750,374750,374750,374750
1000,1499500,1499500,1499500,1499500,1499500,1499500,1499500,1499500,1499500,1499500
1500,3374250,3374250,3374250,3374250,3374250,3374250,3374250,3374250,3374250,3374250
2000,5999000,5999000,5999000,5999000,5999000,5999000,5999000,5999000,5999000,5999000
2500,9373750,9373750,9373750,9373750,9373750,9373750,9373750,9373750,9373750,9373750
3000,13498500,13498500,13498500,13498500,13498500,13498500,13498500,13498500,13498500,13498500
3500,18373250,18373250,18373250,18373250,18373250,18373250,18373250,18373250,18373250,18373250
4000,23998000,23998000,23998000,23998000,23998000,23998000,23998000,23998000,23998000,23998000
4500,30372750,30372750,30372750,30372750,30372750,30372750,30372750,30372750,30372750,30372750
5000,37497500,37497500,37497500,37497500,37497500,37497500,37497500,37497500,37497500,37497500
5500,45372250,45372250,45372250,45372250,45372250,45372250,45372250,45372250,45372250,45372250
6000,53997000,53997000,53997000,53997000,53997000,53997000,53997000,53997000,53997000,53997000
6500,63371750,63371750,63371750,63371750,63371750,63371750,63371750,63371750,63371750,63371750
7000,73496500,73496500,73496500,73496500,73496500,73496500,73496500,73496500,73496500,73496500
7500,84371250,84371250,84371250,84371250,84371250,84371250,84371250,84371250,84371250,84371250
8000,95996000,95996000,95996000,95996000,95996000,95996000,95996000,95996000,95996000,95996000
8500,108370750,108370750,108370750,108370750,108370750,108370750,108370750,108370750,108370750,108370750
9000,121495500,121495500,121495499,121495500,121495500,121495500,121495500,121495500,121495500,121495500
9500,135370250,135370250,135370250,135370250,135370250,135370250,135370250,135370250,135370250,135370250
10000,149995000,149995000,149995000,149995000,149995000,149995000,149995000,149995000,149995000,149995000
